pilot,alliance,corp,ship_types,ship_types_seen,ship_types_seen_count,fighter_types,ship_classes,ship_tech_levels,hull_rarities,damage_done_count,damage_done_total,damage_done_avg,damage_received_count,damage_received_total,damage_received_avg,repairs_done_count,repairs_done_total,repairs_done_avg,repairs_received_count,repairs_received_total,repairs_received_avg,ewar_effects_done_count,ewar_effects_done_total,ewar_effects_done_avg,ewar_effects_received_count,ewar_effects_received_total,ewar_effects_received_avg,cap_warfare_done_count,cap_warfare_done_total,cap_warfare_done_avg,cap_warfare_received_count,cap_warfare_received_total,cap_warfare_received_avg,capacitor_done_count,capacitor_done_total,capacitor_done_avg,capacitor_received_count,capacitor_received_total,capacitor_received_avg,propulsion_jam_attempts_count,propulsion_jam_attempts_total,propulsion_jam_attempts_avg
Francis the Mute,NV,NVACA,Heretic,Heretic,1,,Interdictor,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,10,,
ImmortalisMyst,ECHO.,INOU,Loki,Loki,1,,Strategic Cruiser,T3,Tech III,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,9,,
International Shoe,NV,NVACA,Sacrilege,Sacrilege,1,,Heavy Assault Cruiser,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,6,,
JiJ Hinken,ECHO.,INOU,Rook,"Bifrost,Rook",2,,"Command Destroyer,Combat Recon Ship",T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,10,,
Justice Luft,NV,NVACA,Eos,Eos,1,,Command Ship,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Jyfaala Tragu,NV,NVACA,Eos,Eos,1,,Command Ship,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Kariya Uta,NV,NVACA,Scorpion,Scorpion,1,,Battleship,T1,Tech I,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,3,,
Khan Zung,ECHO.,INOU,Sleipnir,Sleipnir,1,,Command Ship,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,2,,
Lt Myst,ECHO.,INOU,Sleipnir,Sleipnir,1,,Command Ship,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Maverick Parmala,ECHO.,INOU,Sleipnir,Sleipnir,1,,Command Ship,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Mick Fightmaster,NV,NVACA,Armageddon,Armageddon,1,,Battleship,T1,Tech I,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,,
minrat1,NV,NVACA,Sacrilege,Sacrilege,1,,Heavy Assault Cruiser,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
MissileFart,NV,NVACA,Devoter,Devoter,1,,Heavy Interdiction Cruiser,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7,,
Mr Jesterman,NV,NVACA,Guardian,Guardian,1,,Logistics,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
muteassassin,ECHO.,INOU,Sleipnir,Sleipnir,1,,Command Ship,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,,
Nate Titain,NV,NVACA,Sacrilege,Sacrilege,1,,Heavy Assault Cruiser,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,5,,
Norgs,NV,NVACA,Sacrilege,Sacrilege,1,,Heavy Assault Cruiser,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Outalized,ECHO.,INOU,Loki,Loki,1,,Strategic Cruiser,T3,Tech III,0,,,510,34843,68.31960784313725,246,109505,445.1422764227642,14,7073,505.2142857142857,0,,,15,,,0,,,12,2611,217.58333333333334,0,,,0,,,0,,
Ownda,ECHO.,INOU,Basilisk,Basilisk,1,,Logistics,T2,Tech II,0,,,218,2409,11.05045871559633,301,149823,497.75083056478405,0,,,0,,,7,,,0,,,82,4722,57.58536585365854,393,69508,176.86513994910942,184,42015,228.3423913043478,2,,
Owndaworld,ECHO.,INOU,Basilisk,Basilisk,1,,Logistics,T2,Tech II,0,,,18,684,38.0,328,170392,519.4878048780488,6,27,4.5,0,,,2,,,0,,,12,4382,365.1666666666667,465,107729,231.6752688172043,220,43228,196.4909090909091,0,,
Roman Furrer,NV,NVACA,Sacrilege,Sacrilege,1,,Heavy Assault Cruiser,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,6,,
sexy'beast,NV,NVACA,Kitsune,Kitsune,1,,Electronic Attack Ship,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
social Dee,NV,NVACA,Sacrilege,Sacrilege,1,,Heavy Assault Cruiser,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Tan mie,ECHO.,INOU,Cenotaph,Cenotaph,1,,Combat Battlecruiser,T1,Faction,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,24,,
TheRandomDan,ECHO.,INOU,Sleipnir,Sleipnir,1,,Command Ship,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Tinker Blightsteel,NV,NVACA,Sacrilege,Sacrilege,1,,Heavy Assault Cruiser,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,5,,
Turix,ECHO.,INOU,Sleipnir,Sleipnir,1,,Command Ship,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,10,,
Xafen Katapi,NV,NVACA,Guardian,Guardian,1,,Logistics,T2,Tech II,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Zula Rage,ECHO.,INOU,Loki,Loki,1,,Strategic Cruiser,T3,Tech III,145,1124,7.751724137931035,1024,73554,71.830078125,166,57445,346.0542168674699,91,37962,417.16483516483515,0,,,47,,,0,,,57,14113,247.59649122807016,0,,,0,,,11,,
